Designator,Mid X,Mid Y,Rotation,Layer
D1,111.36,-79.77,0.0,top
D2,129.24,-79.77,0.0,top
D3,119.945,-70.08,90.0,top
D4,119.98,-89.9,90.0,top
J1,142.48,-101.19,90.0,top
SW1,110.43,-68.13,0.0,top
SW2,129.51,-68.13,0.0,top
SW3,110.43,-87.18,0.0,top
SW4,129.49,-87.18,0.0,top
SW6,152.24,-89.47,90.0,top
U1,152.95,-65.69,0.0,top
